Id	Score_Difference	Len_cluster_v1	Len_cluster_v2	Len_rank_v1	Len_rank_v2	Len_rank_dif	Merge_v1	Merge_v2	Merge_dif	Dup_v1	Dup_v2	Dup_dif	MA_gaps_v1	MA_gaps_v2	MA_gaps_dif	MA_extra_v1	MA_extra_v2	MA_extra_dif	MA_conserv_v1	MA_conserv_v2	MA_conserv_dif
ENSDARG00000000102|ENSDART00000000102	38	no	yes	0.03	0.14	0.11	0.0	0.0	0.0	1.0	1.0	0.0	0.31	0.03	-0.28	0.01	0.0	-0.0	1.0	1.0	0.0
ENSDARG00000000086|ENSDART00000000087	-13	yes	no	0.07	0.04	-0.03	0.0	0.0	0.0	1.0	1.0	0.0	0.02	0.01	-0.01	0.0	0.01	0.01	1.0	1.0	0.0
ENSDARG00000000142|ENSDART00000000151	25	no	yes	0.15	0.23	0.08	-0.18	-0.22	-0.04	1.0	1.0	0.0	0.05	0.01	-0.04	0.0	0.0	0.0	1.0	1.0	0.0
ENSDARG00000000161|ENSDART00000000170	0	no	no	0.02	0.02	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.16	0.13	-0.03	0.04	0.16	0.12	0.86	0.9	0.04
ENSDARG00000069824|ENSDART00000000473	0	no	no	0.39	0.41	0.02	-0.97	-0.97	-0.01	1.0	1.0	0.0	0.03	0.01	-0.03	0.0	0.0	0.0	1.0	1.0	0.0
ENSDARG00000000189|ENSDART00000000198	50	no	yes	0.02	0.41	0.39	0.0	0.0	0.0	1.0	1.0	0.0	0.32	0.02	-0.3	0.0	0.0	0.0	1.0	1.0	0.0
ENSDARG00000076182|ENSDART00000000280	38	no	no	0.0	0.33	0.33	0.0	0.0	0.0	1.0	1.0	0.0	0.29	0.03	-0.26	0.0	0.01	0.01	1.0	1.0	0.0
ENSDARG00000000516|ENSDART00000000536	0	yes	yes	0.38	0.32	-0.06	-0.15	-0.15	-0.0	1.0	1.0	0.0	0.4	0.4	0.0	0.0	0.0	0.0	0.99	1.0	0.01
ENSDARG00000000370|ENSDART00000000382	50	no	yes	0.01	0.44	0.43	0.0	0.0	0.0	1.0	1.0	0.0	0.71	0.05	-0.66	0.0	0.0	0.0	1.0	0.93	-0.07
ENSDARG00000000472|ENSDART00000000486	-25	no	no	0.01	0.02	0.01	0.01	0.0	-0.01	1.0	1.0	0.0	0.16	0.18	0.02	0.0	0.0	0.0	0.86	0.77	-0.1
ENSDARG00000000183|ENSDART00000000192	37	yes	yes	0.2	0.21	0.01	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	0.75	1.0	0.25
ENSDARG00000000567|ENSDART00000000595	38	no	no	0.11	0.27	0.16	-0.37	-0.12	0.24	1.0	1.0	0.0	0.22	0.02	-0.19	0.04	0.05	0.01	0.81	0.9	0.09
ENSDARG00000000767|ENSDART00000000841	-25	no	no	0.09	0.05	-0.04	0.0	0.0	0.0	1.0	1.0	0.0	0.04	0.34	0.3	0.1	0.1	0.0	1.0	0.5	-0.5
ENSDARG00000000529|ENSDART00000000552	0	no	no	0.29	0.28	-0.01	-0.76	0.0	0.76	1.0	1.0	0.0	0.12	0.15	0.03	0.0	0.0	0.0	1.0	1.0	0.0
ENSDARG00000001354|ENSDART00000000838	25	no	yes	0.04	0.46	0.42	0.0	0.34	0.34	1.0	1.0	0.0	0.05	0.02	-0.03	0.0	0.01	0.01	0.98	1.0	0.02
ENSDARG00000000476|ENSDART00000000637	0	no	no	0.08	0.08	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.55	0.55	0.01	0.0	0.0	0.0	1.0	0.76	-0.24
ENSDARG00000000796|ENSDART00000000876	-13	no	no	0.23	0.16	-0.07	0.0	0.0	0.0	1.0	1.0	0.0	0.02	0.0	-0.02	0.01	0.0	-0.01	1.0	1.0	0.0
ENSDARG00000000666|ENSDART00000000711	0	no	no	0.26	0.31	0.05	0.0	0.0	0.0	1.0	1.0	0.0	0.01	0.03	0.01	0.01	0.0	-0.01	1.0	0.94	-0.06
ENSDARG00000022185|ENSDART00000001755	-25	no	no	0.14	0.09	-0.05	0.0	0.0	0.0	1.0	1.0	0.0	0.09	0.02	-0.07	0.02	0.43	0.4	0.86	1.0	0.14
ENSDARG00000001015|ENSDART00000001148	-13	yes	no	0.14	0.15	0.01	0.0	0.0	0.0	1.0	1.0	0.0	0.03	0.03	0.0	0.02	0.03	0.0	0.9	1.0	0.1
ENSDARG00000001414|ENSDART00000001102	13	no	yes	0.0	0.06	0.06	0.0	0.67	0.67	1.0	0.5	-0.5	0.38	0.11	-0.27	0.0	0.02	0.02	0.98	1.0	0.02
ENSDARG00000000730|ENSDART00000001861	0	no	no	0.04	0.08	0.04	0.01	0.0	-0.01	1.0	1.0	0.0	0.05	0.05	0.0	0.0	0.0	0.0	1.0	1.0	0.0
ENSDARG00000034300|ENSDART00000002104	25	no	yes	0.03	0.42	0.39	0.0	-0.04	-0.04	1.0	1.0	0.0	0.07	0.01	-0.06	0.0	0.01	0.01	0.95	1.0	0.05
ENSDARG00000001559|ENSDART00000001805	25	no	yes	0.17	0.35	0.18	0.0	-0.12	-0.12	1.0	1.0	0.0	0.04	0.0	-0.04	0.0	0.0	0.0	1.0	0.97	-0.03
ENSDARG00000001572|ENSDART00000001821	12	no	yes	0.31	0.39	0.08	0.0	0.0	0.0	1.0	1.0	0.0	0.05	0.01	-0.04	0.0	0.02	0.02	0.97	0.97	0.0
ENSDARG00000013221|ENSDART00000002096	0	no	no	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.22	0.22	0.0	0.0	0.0	0.0	1.0	1.0	0.0
ENSDARG00000001154|ENSDART00000001313	25	yes	yes	0.39	0.33	-0.06	0.0	0.0	0.0	0.01	0.25	0.24	0.18	0.13	-0.05	0.01	0.01	-0.0	0.99	0.99	0.0
ENSDARG00000078760|ENSDART00000002055	50	no	yes	0.01	0.39	0.38	0.0	0.0	0.0	1.0	1.0	0.0	0.65	0.06	-0.58	0.0	0.01	0.01	0.16	1.0	0.84
ENSDARG00000000966|ENSDART00000001092	0	no	no	0.04	0.04	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.16	0.16	0.0	0.01	0.01	0.0	1.0	1.0	0.0
ENSDARG00000006786|ENSDART00000002177	0	yes	yes	0.38	0.33	-0.05	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.01	0.01	0.05	0.07	0.02	1.0	0.98	-0.02
ENSDARG00000000972|ENSDART00000001098	50	no	yes	0.02	0.39	0.37	0.0	0.0	0.0	1.0	1.0	0.0	0.54	0.0	-0.54	0.0	0.0	0.0	0.72	0.98	0.26
