Id	Score_Difference	Len_cluster_v1	Len_cluster_v2	Len_rank_v1	Len_rank_v2	Len_rank_dif	Merge_v1	Merge_v2	Merge_dif	Dup_v1	Dup_v2	Dup_dif	MA_gaps_v1	MA_gaps_v2	MA_gaps_dif	MA_extra_v1	MA_extra_v2	MA_extra_dif	MA_conserv_v1	MA_conserv_v2	MA_conserv_dif
GB10006-PA	-12	yes	yes	0.21	0.12	-0.09	0.0	0.0	0.0	1.0	1.0	0.0	0.07	0.0	-0.07	0.0	0.0	0.0	0.94	1.0	0.06
GB10007-PA	-25	yes	no	0.21	0.09	-0.12	-0.1	-0.06	0.04	1.0	1.0	0.0	0.15	0.0	-0.15	0.0	0.15	0.15	1.0	1.0	0.0
GB10012-PA	-50	yes	no	0.48	0.01	-0.47	0.08	0.15	0.07	1.0	1.0	0.0	0.0	0.26	0.26	0.0	0.0	0.0	1.0	1.0	0.0
GB10014-PA	12	no	yes	0.21	0.34	0.13	0.0	-0.08	-0.08	1.0	1.0	0.0	0.12	0.0	-0.12	0.0	0.0	0.0	1.0	1.0	0.0
GB10016-PA	37	no	yes	0.46	0.5	0.04	0.81	-0.04	-0.86	1.0	1.0	0.0	0.11	0.04	-0.06	0.04	0.03	-0.01	1.0	1.0	0.0
GB10019-PA	-25	yes	yes	0.2	0.4	0.2	-0.94	0.04	0.98	1.0	1.0	0.0	0.06	0.02	-0.05	0.0	0.0	0.0	1.0	0.33	-0.67
GB10020-PA	37	yes	yes	0.05	0.38	0.33	0.0	-0.02	-0.02	1.0	1.0	0.0	0.43	0.0	-0.43	0.0	0.0	0.0	0.24	1.0	0.76
GB10040-PA	-12	yes	yes	0.48	0.12	-0.36	0.0	0.0	0.0	1.0	1.0	0.0	0.08	0.04	-0.04	0.01	0.01	0.0	1.0	1.0	0.0
GB10044-PA	-25	yes	yes	0.22	0.28	0.06	0.0	0.03	0.03	1.0	1.0	0.0	0.15	0.36	0.21	0.02	0.02	0.0	1.0	0.69	-0.31
GB10047-PA	0	no	no	0.07	0.04	-0.03	-0.07	-0.11	-0.04	1.0	1.0	0.0	0.2	0.28	0.08	0.01	0.0	-0.01	1.0	1.0	0.0
GB10048-PA	37	yes	yes	0.07	0.36	0.29	0.34	0.31	-0.03	1.0	1.0	0.0	0.43	0.0	-0.43	0.09	0.0	-0.09	1.0	1.0	0.0
GB10059-PA	0	no	no	0.0	0.06	0.06	0.37	0.03	-0.34	1.0	0.5	-0.5	0.31	0.44	0.13	0.0	0.0	0.0	0.88	1.0	0.12
GB10062-PA	50	no	yes	0.01	0.2	0.19	0.0	0.0	0.0	1.0	1.0	0.0	0.76	0.02	-0.75	0.0	0.0	0.0	0.25	1.0	0.75
GB10066-PA	25	no	yes	0.15	0.38	0.23	0.0	0.0	0.0	1.0	1.0	0.0	0.04	0.15	0.11	0.02	0.01	-0.01	1.0	1.0	0.0
GB10067-PA	25	no	no	0.05	0.03	-0.02	0.0	0.0	0.0	0.0	1.0	1.0	0.14	0.12	-0.02	0.05	0.01	-0.04	0.96	1.0	0.04
GB10068-PA	12	yes	yes	0.11	0.26	0.15	-0.05	-0.05	0.01	1.0	1.0	0.0	0.05	0.0	-0.05	0.0	0.0	0.0	1.0	1.0	0.0
GB10069-PA	25	no	no	0.01	0.04	0.03	0.0	-0.12	-0.12	1.0	1.0	0.0	0.37	0.0	-0.37	0.0	0.19	0.19	0.56	1.0	0.44
GB10080-PA	25	no	no	0.0	0.01	0.01	0.0	0.0	0.0	1.0	1.0	0.0	0.76	0.16	-0.6	0.0	0.01	0.01	1.0	1.0	0.0
GB10081-PA	12	yes	yes	0.17	0.37	0.2	-0.59	-0.55	0.04	1.0	1.0	0.0	0.11	0.0	-0.11	0.03	0.01	-0.02	0.99	0.99	0.0
GB10082-PA	12	yes	yes	0.14	0.45	0.31	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.06	0.02	-0.04	1.0	1.0	0.0
GB10084-PA	25	no	no	0.02	0.12	0.1	0.0	0.0	0.0	1.0	1.0	0.0	0.56	0.01	-0.54	0.0	0.01	0.01	0.23	0.97	0.75
GB10085-PA	-25	no	yes	0.29	0.03	-0.26	0.27	1.0	0.73	1.0	1.0	0.0	0.43	0.63	0.19	0.0	0.0	-0.0	0.9	0.76	-0.14
GB10086-PA	0	no	no	0.01	0.02	0.01	-0.45	0.0	0.45	1.0	1.0	0.0	0.19	0.0	-0.19	0.01	0.04	0.03	1.0	1.0	0.0
GB10087-PA	-12	yes	yes	0.42	0.1	-0.32	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.15	0.15	1.0	1.0	0.0
GB10089-PA	25	no	no	0.02	0.05	0.03	0.0	0.0	0.0	1.0	1.0	0.0	0.35	0.13	-0.22	0.0	0.0	0.0	0.96	0.83	-0.13
GB10094-PA	-25	yes	no	0.26	0.13	-0.13	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.01	0.01	1.0	1.0	0.0
GB10096-PA	-12	yes	no	0.42	0.22	-0.2	0.0	-0.45	-0.45	1.0	1.0	0.0	0.0	0.02	0.01	0.06	0.0	-0.06	1.0	1.0	0.0
GB10098-PA	37	no	yes	0.2	0.47	0.27	0.0	-0.19	-0.19	1.0	1.0	0.0	0.21	0.0	-0.21	0.0	0.02	0.02	0.8	1.0	0.19
GB10099-PA	38	no	no	0.03	0.23	0.2	0.0	0.0	0.0	1.0	1.0	0.0	0.34	0.02	-0.32	0.01	0.01	0.0	1.0	1.0	0.0
GB10103-PA	-12	yes	yes	0.33	0.12	-0.21	-0.75	0.0	0.75	1.0	0.0	-1.0	0.58	0.06	-0.52	0.0	0.05	0.05	1.0	1.0	0.0
GB10105-PA	-12	yes	no	0.48	0.46	-0.02	-0.89	-0.89	0.0	1.0	1.0	0.0	0.04	0.03	-0.01	0.0	0.0	-0.0	1.0	1.0	0.0
GB10111-PA	-25	yes	no	0.28	0.05	-0.23	0.17	0.0	-0.17	1.0	1.0	0.0	0.19	0.0	-0.19	0.03	0.16	0.14	0.94	1.0	0.06
GB10113-PA	-38	no	no	0.23	0.03	-0.2	0.0	0.0	0.0	1.0	1.0	0.0	0.03	0.39	0.36	0.07	0.02	-0.05	1.0	0.83	-0.17
GB10117-PA	12	no	yes	0.32	0.24	-0.08	0.0	0.01	0.01	1.0	1.0	0.0	0.15	0.0	-0.15	0.0	0.03	0.03	1.0	1.0	0.0
GB10118-PA	-13	no	no	0.28	0.18	-0.1	0.0	-1.04	-1.04	1.0	1.0	0.0	0.1	0.01	-0.09	0.0	0.01	0.01	1.0	1.0	0.0
GB10119-PA	-13	no	no	0.32	0.08	-0.24	0.0	0.0	0.0	1.0	1.0	0.0	0.01	0.03	0.02	0.02	0.04	0.02	1.0	1.0	0.0
GB10120-PA	50	no	no	0.1	0.0	-0.1	0.57	0.0	-0.57	1.0	1.0	0.0	0.41	0.03	-0.38	0.0	0.01	0.0	0.79	1.0	0.21
GB10124-PA	12	no	no	0.28	0.07	-0.21	0.02	0.0	-0.02	1.0	1.0	0.0	0.23	0.02	-0.21	0.0	0.01	0.01	0.99	0.99	-0.0
GB10125-PA	25	no	no	0.0	0.19	0.19	0.0	-0.02	-0.02	1.0	1.0	0.0	0.27	0.01	-0.26	0.0	0.05	0.05	0.57	1.0	0.43
GB10128-PA	12	yes	yes	0.14	0.43	0.29	-0.16	-0.69	-0.52	1.0	1.0	0.0	0.01	0.11	0.09	0.0	0.02	0.01	1.0	0.91	-0.09
GB10131-PA	25	no	no	0.09	0.03	-0.06	0.0	0.0	0.0	1.0	1.0	0.0	0.27	0.03	-0.24	0.01	0.03	0.02	1.0	1.0	0.0
GB10132-PA	12	yes	yes	0.1	0.39	0.29	0.0	0.0	0.0	1.0	1.0	0.0	0.05	0.01	-0.03	0.0	0.0	0.0	0.96	1.0	0.04
GB10139-PA	-13	yes	no	0.17	0.11	-0.06	0.0	0.0	0.0	1.0	1.0	0.0	0.09	0.0	-0.09	0.0	0.0	0.0	0.99	1.0	0.01
GB10141-PA	13	no	no	0.01	0.25	0.24	0.0	0.0	0.0	1.0	1.0	0.0	0.17	0.04	-0.13	0.0	0.0	0.0	1.0	1.0	0.0
GB10145-PA	-50	yes	no	0.21	0.0	-0.21	-0.14	-0.89	-0.75	1.0	1.0	0.0	-	-	-	-	-	-
GB10147-PA	12	no	yes	0.26	0.5	0.24	0.0	0.0	0.0	1.0	1.0	0.0	0.01	0.0	-0.0	0.0	0.0	0.0	0.99	0.99	0.0
GB10148-PA	13	no	no	0.01	0.4	0.39	0.14	0.03	-0.11	1.0	1.0	0.0	0.17	0.02	-0.15	0.0	0.0	0.0	0.82	0.99	0.18
GB10151-PA	0	no	no	0.0	0.03	0.03	0.0	-0.05	-0.05	1.0	1.0	0.0	0.88	0.27	-0.61	0.0	0.0	0.0	0.05	0.97	0.92
GB10152-PA	25	no	yes	0.1	0.47	0.37	0.0	0.0	0.0	0.5	0.5	0.0	0.12	0.02	-0.09	0.12	0.0	-0.12	0.99	0.99	0.0
GB10155-PA	13	no	yes	0.19	0.06	-0.13	0.0	-0.0	-0.0	1.0	1.0	0.0	0.13	0.0	-0.13	0.0	0.06	0.06	0.92	1.0	0.08
GB10156-PA	25	no	yes	0.12	0.26	0.14	0.0	0.0	0.0	1.0	1.0	0.0	0.08	0.02	-0.06	0.0	0.0	0.0	0.9	1.0	0.1
GB10157-PA	25	no	yes	0.09	0.32	0.23	0.0	0.0	0.0	1.0	1.0	0.0	0.11	0.0	-0.11	0.0	0.0	0.0	1.0	1.0	0.0
GB10159-PA	50	yes	yes	0.12	0.2	0.08	0.64	0.0	-0.63	1.0	1.0	0.0	0.29	0.05	-0.24	0.21	0.0	-0.21	0.67	1.0	0.33
GB10160-PA	0	yes	yes	0.46	0.29	-0.17	-1.12	0.0	1.12	1.0	1.0	0.0	0.15	0.04	-0.11	0.11	0.03	-0.08	1.0	1.0	0.0
