Id	Score_Difference	Len_cluster_v1	Len_cluster_v2	Len_rank_v1	Len_rank_v2	Len_rank_dif	Merge_v1	Merge_v2	Merge_dif	Dup_v1	Dup_v2	Dup_dif	MA_gaps_v1	MA_gaps_v2	MA_gaps_dif	MA_extra_v1	MA_extra_v2	MA_extra_dif	MA_conserv_v1	MA_conserv_v2	MA_conserv_dif
ENSMUSP00000000001	0	yes	yes	0.1	0.16	0.06	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.99	1.0	0.01
ENSMUSP00000000080	0	no	no	0.1	0.13	0.03	0.0	0.0	0.0	1.0	1.0	0.0	0.27	0.21	-0.06	0.03	0.09	0.06	0.99	0.99	0.0
ENSMUSP00000000094	0	no	no	0.0	0.0	0.0	0.0	-0.03	-0.03	1.0	1.0	0.0	0.4	0.64	0.24	0.01	0.0	-0.01	0.48	0.25	-0.23
ENSMUSP00000000095	0	no	no	0.12	0.11	-0.01	0.0	0.0	0.0	1.0	1.0	0.0	0.06	0.04	-0.01	0.03	0.03	0.0	0.98	1.0	0.01
ENSMUSP00000000122	50	no	no	0.36	0.34	-0.02	0.4	0.25	-0.15	0.25	0.5	0.25	0.05	0.01	-0.04	0.02	0.02	-0.01	0.5	1.0	0.5
ENSMUSP00000000128	0	yes	yes	0.16	0.15	-0.01	-0.06	-0.06	0.0	1.0	1.0	0.0	0.06	0.04	-0.01	0.01	0.0	-0.01	1.0	1.0	0.0
ENSMUSP00000000129	0	no	no	0.44	0.37	-0.07	0.0	0.0	0.0	1.0	1.0	0.0	0.02	0.0	-0.01	0.0	0.0	0.0	1.0	1.0	0.0
ENSMUSP00000000137	0	no	no	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.04	0.0	-0.04	0.0	0.0	0.0	0.96	1.0	0.04
ENSMUSP00000000145	0	no	no	0.34	0.41	0.07	-0.29	-0.38	-0.09	1.0	1.0	0.0	0.0	0.11	0.11	0.0	0.0	0.0	1.0	0.93	-0.06
ENSMUSP00000000163	25	no	yes	0.06	0.22	0.16	-0.71	0.0	0.71	1.0	1.0	0.0	0.15	0.04	-0.1	0.0	0.0	0.0	0.86	1.0	0.14
ENSMUSP00000000171	0	yes	yes	0.5	0.46	-0.04	0.2	0.2	0.0	1.0	1.0	0.0	0.41	0.3	-0.1	0.0	0.0	0.0	0.94	1.0	0.06
ENSMUSP00000000175	12	no	yes	0.23	0.32	0.09	-0.1	-0.1	0.01	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0
ENSMUSP00000000186	-12	yes	yes	0.4	0.18	-0.22	-0.53	0.0	0.53	1.0	1.0	0.0	0.07	0.09	0.02	0.02	0.09	0.07	0.8	1.0	0.2
ENSMUSP00000000201	-13	no	yes	0.24	0.42	0.18	0.0	-0.62	-0.62	0.06	0.0	-0.06	0.4	0.23	-0.17	0.03	0.08	0.04	0.69	1.0	0.31
ENSMUSP00000000208	25	no	yes	0.09	0.2	0.11	-0.14	0.0	0.14	1.0	1.0	0.0	0.26	0.2	-0.06	0.01	0.04	0.03	0.3	1.0	0.7
ENSMUSP00000000221	0	yes	yes	0.29	0.29	0.0	-0.15	0.0	0.15	1.0	1.0	0.0	0.02	0.02	0.0	0.0	0.01	0.0	0.93	1.0	0.07
ENSMUSP00000000254	-37	yes	no	0.28	0.35	0.07	-0.22	-0.11	0.11	1.0	0.0	-1.0	0.11	0.03	-0.09	0.01	0.12	0.11	1.0	1.0	0.0
ENSMUSP00000000275	0	yes	yes	0.21	0.48	0.27	-1.32	-1.17	0.15	1.0	1.0	0.0	0.01	0.01	0.0	0.0	0.05	0.05	1.0	1.0	0.0
ENSMUSP00000000299	0	yes	yes	0.23	0.28	0.05	-0.29	-0.29	0.0	1.0	1.0	0.0	0.01	0.01	-0.01	0.0	0.0	0.0	0.98	0.99	0.0
ENSMUSP00000000304	25	no	yes	0.0	0.27	0.27	0.0	0.0	0.0	1.0	1.0	0.0	0.1	0.01	-0.09	0.0	0.0	0.0	0.8	1.0	0.2
ENSMUSP00000000305	37	no	yes	0.32	0.33	0.01	0.24	-0.26	-0.5	1.0	1.0	0.0	0.09	0.12	0.03	0.21	0.03	-0.19	1.0	0.98	-0.02
ENSMUSP00000000314	0	yes	yes	0.46	0.36	-0.1	-0.7	-0.46	0.24	1.0	1.0	0.0	0.06	0.0	-0.06	0.01	0.01	0.0	0.98	0.99	0.02
ENSMUSP00000000327	0	yes	yes	0.32	0.32	0.0	-0.02	-0.02	-0.0	1.0	1.0	0.0	0.03	0.05	0.02	0.04	0.04	0.0	0.96	0.94	-0.02
ENSMUSP00000000384	-25	yes	yes	0.4	0.33	-0.07	0.01	-0.03	-0.04	1.0	1.0	0.0	-	-	-	-	-	-
ENSMUSP00000000395	0	yes	yes	0.29	0.28	-0.01	0.0	0.0	0.0	1.0	1.0	0.0	0.04	0.03	-0.01	0.01	0.01	0.0	1.0	0.98	-0.02
ENSMUSP00000000402	0	yes	yes	0.38	0.3	-0.08	0.0	-0.14	-0.14	1.0	1.0	0.0	0.01	0.05	0.03	0.0	0.0	0.0	0.99	0.98	-0.01
ENSMUSP00000000449	0	yes	yes	0.47	0.48	0.01	-0.1	-0.05	0.04	1.0	1.0	0.0	0.07	0.05	-0.02	0.01	0.01	0.0	1.0	1.0	0.0
ENSMUSP00000000505	0	yes	yes	0.26	0.26	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	1.0	1.0	0.0
ENSMUSP00000000542	0	yes	yes	0.13	0.1	-0.03	-0.14	-0.15	-0.01	1.0	1.0	0.0	0.02	0.02	0.0	0.0	0.0	0.0	1.0	1.0	0.0
ENSMUSP00000000590	12	yes	yes	0.2	0.22	0.02	-0.4	-0.49	-0.08	1.0	1.0	0.0	0.01	0.0	-0.01	0.0	0.0	0.0	0.99	1.0	0.01
ENSMUSP00000000631	50	no	yes	0.08	0.39	0.31	-0.2	-0.3	-0.1	1.0	1.0	0.0	0.41	0.05	-0.36	0.01	0.01	-0.01	0.63	0.81	0.19
ENSMUSP00000000645	0	yes	yes	0.15	0.14	-0.01	-0.8	-0.82	-0.02	1.0	1.0	0.0	0.14	0.14	0.0	0.17	0.17	-0.0	1.0	0.98	-0.02
ENSMUSP00000000646	0	no	no	0.22	0.25	0.03	-0.21	-0.19	0.02	0.5	1.0	0.5	0.01	0.01	-0.0	0.0	0.0	0.0	0.99	1.0	0.01
ENSMUSP00000000674	-13	yes	no	0.12	0.03	-0.09	-0.38	0.0	0.38	1.0	1.0	0.0	0.09	0.13	0.04	0.0	0.0	0.0	1.0	1.0	0.0
ENSMUSP00000000687	12	no	no	0.31	0.15	-0.16	0.0	0.0	0.0	1.0	1.0	0.0	0.07	0.01	-0.06	0.0	0.0	0.0	0.78	1.0	0.22
ENSMUSP00000000717	0	yes	yes	0.32	0.39	0.07	0.06	0.1	0.04	1.0	1.0	0.0	0.11	0.02	-0.08	0.0	0.0	0.0	1.0	0.91	-0.09
ENSMUSP00000000718	25	no	yes	0.0	0.5	0.5	0.0	0.0	0.0	1.0	1.0	0.0	0.07	0.05	-0.02	0.0	0.0	0.0	1.0	1.0	0.0
ENSMUSP00000000724	-25	yes	yes	0.31	0.35	0.04	0.0	0.0	0.0	1.0	1.0	0.0	0.03	0.01	-0.02	0.18	0.22	0.05	0.99	1.0	0.01
ENSMUSP00000000767	-12	yes	no	0.46	0.33	-0.13	-0.36	-0.31	0.05	1.0	1.0	0.0	0.01	0.0	-0.01	0.01	0.04	0.03	1.0	0.99	-0.01
ENSMUSP00000000783	0	no	no	0.02	0.03	0.01	-0.51	-0.6	-0.09	1.0	1.0	0.0	0.02	0.01	0.0	0.1	0.07	-0.03	1.0	1.0	0.0
ENSMUSP00000000804	0	yes	yes	0.47	0.48	0.01	-0.29	-0.28	0.01	1.0	1.0	0.0	0.03	0.01	-0.02	0.0	0.0	0.0	1.0	0.99	-0.01
ENSMUSP00000000821	13	no	yes	0.01	0.01	0.0	0.26	-0.94	-1.2	1.0	1.0	0.0	0.07	0.41	0.34	0.39	0.0	-0.39	1.0	0.51	-0.49
ENSMUSP00000000828	0	no	no	0.03	0.03	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.01	0.01	-0.0	0.14	0.14	0.0	0.97	0.98	0.01
ENSMUSP00000000844	0	yes	yes	0.31	0.2	-0.11	-0.14	-0.25	-0.11	1.0	1.0	0.0	0.04	0.09	0.05	0.07	0.0	-0.07	1.0	1.0	0.0
ENSMUSP00000000894	0	yes	yes	0.4	0.31	-0.09	-1.05	-1.82	-0.76	1.0	1.0	0.0	0.16	0.11	-0.05	0.08	0.03	-0.05	0.99	0.94	-0.05
ENSMUSP00000000895	50	no	yes	0.15	0.32	0.17	0.0	-0.35	-0.35	1.0	1.0	0.0	0.17	0.06	-0.12	0.0	0.0	-0.0	0.6	1.0	0.4
ENSMUSP00000000901	0	no	no	0.37	0.38	0.01	0.04	0.03	-0.0	1.0	1.0	0.0	0.09	0.12	0.03	0.02	0.02	0.0	1.0	0.99	-0.01
ENSMUSP00000000904	-38	yes	no	0.12	0.0	-0.12	0.0	-0.45	-0.45	1.0	0.5	-0.5	0.07	0.3	0.23	0.01	0.0	-0.01	1.0	0.86	-0.14
ENSMUSP00000000910	0	yes	yes	0.45	0.45	0.0	-0.21	-0.22	-0.01	1.0	1.0	0.0	0.01	0.01	-0.01	0.01	0.01	0.0	1.0	1.0	0.0
ENSMUSP00000000924	0	yes	yes	0.34	0.34	0.0	-0.43	-0.45	-0.03	1.0	1.0	0.0	0.17	0.17	0.0	0.01	0.01	0.0	1.0	1.0	0.0
ENSMUSP00000000939	-25	yes	yes	0.29	0.26	-0.03	-0.17	-0.12	0.05	1.0	1.0	0.0	0.04	0.53	0.49	0.01	0.01	0.0	1.0	1.0	0.0
ENSMUSP00000000958	25	no	no	0.22	0.27	0.05	-0.45	-0.47	-0.03	1.0	1.0	0.0	0.22	0.17	-0.05	0.0	0.0	0.0	0.98	0.99	0.01
ENSMUSP00000000964	-12	yes	no	0.24	0.23	-0.01	-0.08	-0.11	-0.03	1.0	1.0	0.0	0.05	0.01	-0.03	0.0	0.01	0.01	0.99	0.99	0.0
ENSMUSP00000000985	0	no	no	0.1	0.1	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.02	0.08	0.06	0.02	0.03	0.01	1.0	1.0	0.0
ENSMUSP00000001002	25	no	no	0.33	0.21	-0.12	-0.21	-0.15	0.07	1.0	1.0	0.0	0.23	0.01	-0.21	0.0	0.0	0.0	1.0	1.0	0.0
ENSMUSP00000001027	-12	yes	no	0.24	0.28	0.04	-0.25	-0.29	-0.04	1.0	1.0	0.0	0.01	0.01	0.0	0.0	0.0	-0.0	1.0	0.99	-0.0
ENSMUSP00000001036	25	no	no	0.04	0.1	0.06	-0.21	-0.0	0.21	1.0	1.0	0.0	0.44	0.04	-0.4	0.03	0.05	0.03	0.39	1.0	0.61
ENSMUSP00000001042	12	yes	yes	0.18	0.14	-0.04	-0.28	-0.23	0.05	-	-	-	-	-	-	-	-
ENSMUSP00000001063	50	no	yes	0.14	0.33	0.19	-0.52	-0.15	0.36	1.0	1.0	0.0	0.2	0.09	-0.11	0.02	0.03	0.0	0.55	0.98	0.43
ENSMUSP00000001079	0	no	no	0.01	0.01	0.0	-0.08	-0.07	0.0	1.0	1.0	0.0	0.03	0.04	0.01	0.11	0.13	0.02	1.0	1.0	0.0
ENSMUSP00000001080	13	no	yes	0.1	0.1	0.0	0.03	0.03	0.0	1.0	1.0	0.0	0.24	0.23	-0.02	0.0	0.0	0.0	0.93	1.0	0.07
ENSMUSP00000001092	50	no	yes	0.07	0.44	0.37	-0.13	-0.04	0.09	0.5	0.5	0.0	0.21	0.07	-0.14	0.03	0.09	0.06	0.97	1.0	0.03
