Id	Score_Difference	Len_cluster_v1	Len_cluster_v2	Len_rank_v1	Len_rank_v2	Len_rank_dif	Merge_v1	Merge_v2	Merge_dif	Dup_v1	Dup_v2	Dup_dif	MA_gaps_v1	MA_gaps_v2	MA_gaps_dif	MA_extra_v1	MA_extra_v2	MA_extra_dif	MA_conserv_v1	MA_conserv_v2	MA_conserv_dif
ENSMUSP00000000001	25	no	yes	0.15	0.32	0.17	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.99	1.0	0.0
ENSMUSP00000000080	-25	yes	no	0.22	0.03	-0.19	0.09	-0.06	-0.15	1.0	1.0	0.0	0.11	0.0	-0.11	0.0	0.0	0.0	1.0	1.0	0.0
ENSMUSP00000000094	0	no	no	0.02	0.0	-0.02	0.0	-0.8	-0.8	1.0	1.0	0.0	0.46	0.21	-0.25	0.01	0.0	-0.01	0.55	0.99	0.44
ENSMUSP00000000095	0	yes	yes	0.34	0.43	0.09	0.0	0.0	0.0	1.0	1.0	0.0	0.02	0.0	-0.02	0.0	0.01	0.01	0.99	1.0	0.01
ENSMUSP00000000122	0	yes	yes	0.39	0.25	-0.14	-0.02	-0.04	-0.02	1.0	1.0	0.0	0.03	0.01	-0.02	0.0	0.0	0.0	0.99	1.0	0.01
ENSMUSP00000000128	0	yes	yes	0.33	0.36	0.03	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.01	0.0	-0.01	1.0	0.99	-0.01
ENSMUSP00000000129	0	no	yes	0.29	0.19	-0.1	0.0	0.0	0.0	1.0	1.0	0.0	0.01	0.0	-0.01	0.0	0.0	0.0	0.96	1.0	0.04
ENSMUSP00000000137	25	no	yes	0.12	0.3	0.18	0.0	0.0	0.0	1.0	1.0	0.0	0.04	0.0	-0.04	0.0	0.0	0.0	1.0	1.0	0.0
ENSMUSP00000000145	-25	yes	no	0.45	0.01	-0.44	0.0	0.0	0.0	1.0	1.0	0.0	0.03	0.14	0.1	0.0	0.0	0.0	1.0	0.91	-0.09
ENSMUSP00000000163	12	yes	yes	0.16	0.33	0.17	-0.59	-0.52	0.08	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0
ENSMUSP00000000171	12	no	yes	0.31	0.41	0.1	0.0	0.0	0.0	1.0	1.0	0.0	0.03	0.01	-0.02	0.0	0.0	0.0	1.0	1.0	0.0
ENSMUSP00000000175	-25	yes	yes	0.13	0.16	0.03	0.02	0.01	-0.01	1.0	1.0	0.0	0.0	0.22	0.22	0.01	0.0	-0.01	1.0	1.0	0.0
ENSMUSP00000000186	-25	no	no	0.32	0.21	-0.11	-0.38	-0.64	-0.27	1.0	1.0	0.0	0.01	0.28	0.27	0.0	0.0	0.0	0.88	0.97	0.1
ENSMUSP00000000201	50	no	yes	0.06	0.46	0.4	0.0	0.0	0.0	1.0	1.0	0.0	0.32	0.0	-0.32	0.0	0.0	0.0	0.72	1.0	0.28
ENSMUSP00000000208	13	no	no	0.14	0.36	0.22	0.0	0.0	0.0	1.0	1.0	0.0	0.19	0.01	-0.18	0.01	0.0	-0.0	1.0	1.0	0.0
ENSMUSP00000000221	-25	yes	yes	0.23	0.24	0.01	0.0	0.0	0.0	1.0	1.0	0.0	0.01	0.46	0.45	0.01	0.0	-0.01	0.93	0.98	0.06
