Score_Difference	Len_cluster_v1	Len_cluster_v2	Len_rank_v1	Len_rank_v2	Dup_v1	Dup_v2	Merge_v1	Merge_v2	MA_gaps_v1	MA_gaps_v2	MA_extra_v1	MA_extra_v2	MA_conserv_v1	MA_conserv_v2
38	no	yes	0.03	0.14	0.0	0.0	1.0	1.0	0.31	0.03	0.01	0.0	1.0	1.0
-13	yes	no	0.07	0.04	0.0	0.0	1.0	1.0	0.02	0.01	0.0	0.01	1.0	1.0
25	no	yes	0.15	0.23	-0.18	-0.22	1.0	1.0	0.05	0.01	0.0	0.0	1.0	1.0
0	no	no	0.02	0.02	0.0	0.0	1.0	1.0	0.16	0.13	0.04	0.16	0.86	0.9
0	no	no	0.39	0.41	-0.97	-0.97	1.0	1.0	0.03	0.01	0.0	0.0	1.0	1.0
50	no	yes	0.02	0.41	0.0	0.0	1.0	1.0	0.32	0.02	0.0	0.0	1.0	1.0
38	no	no	0.0	0.33	0.0	0.0	1.0	1.0	0.29	0.03	0.0	0.01	1.0	1.0
0	yes	yes	0.38	0.32	-0.15	-0.15	1.0	1.0	0.4	0.4	0.0	0.0	0.99	1.0
50	no	yes	0.01	0.44	0.0	0.0	1.0	1.0	0.71	0.05	0.0	0.0	1.0	0.93
-25	no	no	0.01	0.02	0.01	0.0	1.0	1.0	0.16	0.18	0.0	0.0	0.86	0.77
37	yes	yes	0.2	0.21	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.75	1.0
38	no	no	0.11	0.27	-0.37	-0.12	1.0	1.0	0.22	0.02	0.04	0.05	0.81	0.9
-25	no	no	0.09	0.05	0.0	0.0	1.0	1.0	0.04	0.34	0.1	0.1	1.0	0.5
0	no	no	0.29	0.28	-0.76	0.0	1.0	1.0	0.12	0.15	0.0	0.0	1.0	1.0
25	no	yes	0.04	0.46	0.0	0.34	1.0	1.0	0.05	0.02	0.0	0.01	0.98	1.0
0	no	no	0.08	0.08	0.0	0.0	1.0	1.0	0.55	0.55	0.0	0.0	1.0	0.76
-13	no	no	0.23	0.16	0.0	0.0	1.0	1.0	0.02	0.0	0.01	0.0	1.0	1.0
0	no	no	0.26	0.31	0.0	0.0	1.0	1.0	0.01	0.03	0.01	0.0	1.0	0.94
-25	no	no	0.14	0.09	0.0	0.0	1.0	1.0	0.09	0.02	0.02	0.43	0.86	1.0
-13	yes	no	0.14	0.15	0.0	0.0	1.0	1.0	0.03	0.03	0.02	0.03	0.9	1.0
13	no	yes	0.0	0.06	0.0	0.67	1.0	0.5	0.38	0.11	0.0	0.02	0.98	1.0
0	no	no	0.04	0.08	0.01	0.0	1.0	1.0	0.05	0.05	0.0	0.0	1.0	1.0
25	no	yes	0.03	0.42	0.0	-0.04	1.0	1.0	0.07	0.01	0.0	0.01	0.95	1.0
25	no	yes	0.17	0.35	0.0	-0.12	1.0	1.0	0.04	0.0	0.0	0.0	1.0	0.97
12	no	yes	0.31	0.39	0.0	0.0	1.0	1.0	0.05	0.01	0.0	0.02	0.97	0.97
0	no	no	0.0	0.0	0.0	0.0	1.0	1.0	0.22	0.22	0.0	0.0	1.0	1.0
25	yes	yes	0.39	0.33	0.0	0.0	0.01	0.25	0.18	0.13	0.01	0.01	0.99	0.99
50	no	yes	0.01	0.39	0.0	0.0	1.0	1.0	0.65	0.06	0.0	0.01	0.16	1.0
0	no	no	0.04	0.04	0.0	0.0	1.0	1.0	0.16	0.16	0.01	0.01	1.0	1.0
0	yes	yes	0.38	0.33	0.0	0.0	1.0	1.0	0.0	0.01	0.05	0.07	1.0	0.98
50	no	yes	0.02	0.39	0.0	0.0	1.0	1.0	0.54	0.0	0.0	0.0	0.72	0.98
-13	yes	no	0.05	0.04	0.16	0.0	1.0	1.0	0.05	0.06	0.02	0.02	0.95	1.0
25	no	yes	0.16	0.34	0.0	0.0	1.0	1.0	0.06	0.0	0.0	0.0	1.0	0.98
0	no	no	0.03	0.03	-0.03	-0.03	1.0	1.0	0.04	0.03	0.09	0.09	1.0	1.0
13	no	yes	0.11	0.1	0.0	0.0	1.0	1.0	0.05	0.0	0.0	0.0	0.98	1.0
