Id	Score_Difference	Len_cluster_v1	Len_cluster_v2	Len_rank_v1	Len_rank_v2	Len_rank_dif	Merge_v1	Merge_v2	Merge_dif	Dup_v1	Dup_v2	Dup_dif	MA_gaps_v1	MA_gaps_v2	MA_gaps_dif	MA_extra_v1	MA_extra_v2	MA_extra_dif	MA_conserv_v1	MA_conserv_v2	MA_conserv_dif
LH19363-PA	25	no	yes	0.06	0.45	0.39	0.0	-0.01	-0.01	1.0	1.0	0.0	0.03	0.0	-0.02	0.0	0.0	0.0	1.0	1.0	0.0
LH19372-PA	50	no	yes	0.0	0.45	0.45	0.0	-0.01	-0.01	1.0	1.0	0.0	0.94	0.0	-0.94	0.01	0.0	-0.01	0.02	1.0	0.98
LH19725-PA	25	no	yes	0.42	0.13	-0.29	0.02	0.0	-0.02	1.0	1.0	0.0	0.31	0.01	-0.3	0.01	0.02	0.01	0.89	0.99	0.09
LH19726-PA	25	no	yes	0.2	0.13	-0.07	-0.13	0.0	0.13	1.0	1.0	0.0	0.58	0.01	-0.56	0.04	0.02	-0.01	1.0	0.99	-0.01
LH19802-PA	13	no	yes	0.0	0.08	0.08	0.0	0.0	0.0	1.0	1.0	0.0	0.16	0.02	-0.14	0.0	0.0	0.0	0.82	0.97	0.15
LH19803-PA	75	no	yes	0.01	0.21	0.2	-0.02	0.02	0.05	0.0	1.0	1.0	0.0	0.0	0.0	0.3	0.0	-0.3	0.97	0.95	-0.02
LH19804-PA	12	no	no	0.21	0.09	-0.12	-0.56	0.0	0.56	1.0	1.0	0.0	0.56	0.02	-0.54	0.01	0.01	0.0	0.97	1.0	0.03
LH19807-PA	25	no	no	0.17	0.09	-0.08	0.02	0.0	-0.02	1.0	1.0	0.0	0.3	0.02	-0.28	0.0	0.01	0.0	1.0	1.0	0.0
LH19809-PA	0	no	no	0.12	0.02	-0.1	-0.05	0.0	0.05	1.0	1.0	0.0	0.03	0.0	-0.02	0.01	0.03	0.02	1.0	1.0	0.0
LH17112-PA	13	no	no	0.2	0.33	0.13	-0.42	0.22	0.64	1.0	1.0	0.0	0.03	0.06	0.03	0.09	0.01	-0.08	1.0	1.0	0.0
LH17129-PA	13	no	yes	0.05	0.15	0.1	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.03	0.0	-0.03	1.0	0.99	-0.01
LH15756-PA	0	no	no	0.06	0.17	0.11	0.0	0.0	0.0	1.0	1.0	0.0	0.01	0.16	0.15	0.06	0.01	-0.05	0.89	0.95	0.05
LH15767-PA	0	no	no	0.28	0.25	-0.03	-0.02	0.04	0.06	1.0	1.0	0.0	0.21	0.24	0.03	0.1	0.01	-0.1	1.0	0.98	-0.01
LH16297-PA	-25	no	no	0.11	0.01	-0.1	0.0	1.05	1.05	1.0	1.0	0.0	0.06	0.04	-0.02	0.03	0.1	0.06	1.0	1.0	0.0
LH11062-PA	25	no	no	0.12	0.1	-0.02	0.22	-0.01	-0.23	1.0	1.0	0.0	0.65	0.02	-0.63	0.0	0.0	0.0	1.0	1.0	0.0
LH11065-PA	37	no	yes	0.34	0.33	-0.01	0.07	0.13	0.06	1.0	1.0	0.0	0.34	0.0	-0.34	0.0	0.02	0.02	1.0	0.99	-0.01
LH11066-PA	37	no	yes	0.47	0.33	-0.14	0.16	0.13	-0.03	1.0	1.0	0.0	0.38	0.0	-0.38	0.02	0.02	0.0	0.71	0.99	0.28
LH11067-PA	12	no	no	0.34	0.03	-0.31	-0.02	0.35	0.37	1.0	1.0	0.0	0.6	0.0	-0.6	0.0	0.0	0.0	0.98	1.0	0.02
LH14922-PA	25	no	yes	0.15	0.43	0.28	-0.04	-0.03	0.01	1.0	1.0	0.0	0.0	0.0	0.0	0.08	0.0	-0.08	0.96	0.97	0.01
LH14930-PA	25	no	no	0.02	0.15	0.13	0.0	0.01	0.01	1.0	1.0	0.0	0.27	0.07	-0.2	0.01	0.01	0.01	0.69	0.98	0.29
LH14932-PA	25	no	no	0.0	0.15	0.15	0.0	0.01	0.01	1.0	1.0	0.0	0.81	0.07	-0.74	0.0	0.01	0.01	0.99	0.98	-0.01
LH14934-PA	25	no	no	0.0	0.15	0.15	0.0	0.01	0.01	1.0	1.0	0.0	0.55	0.07	-0.48	0.0	0.01	0.01	0.29	0.98	0.69
LH10392-PA	25	no	yes	0.17	0.27	0.1	0.0	0.0	0.0	1.0	1.0	0.0	0.09	0.04	-0.06	0.03	0.03	0.0	0.94	0.95	0.02
LH10396-PA	25	no	yes	0.16	0.21	0.05	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.07	0.0	-0.07	1.0	1.0	0.0
