Score_Difference	Len_cluster_v1	Len_cluster_v2	Len_rank_v1	Len_rank_v2	Dup_v1	Dup_v2	Merge_v1	Merge_v2	MA_gaps_v1	MA_gaps_v2	MA_extra_v1	MA_extra_v2	MA_conserv_v1	MA_conserv_v2
37	yes	yes	0.08	0.5	0.0	0.0	1.0	0.13	0.37	0.16	0.01	0.01	0.95	0.97
-25	yes	yes	0.02	0.02	0.16	0.14	0.5	0.5	0.03	0.02	0.03	0.03	1.0	0.75
0	no	no	0.29	0.43	0.0	-0.22	1.0	1.0	-	-	-	-	-	-
0	no	no	0.32	0.37	0.02	0.03	0.5	0.5	0.14	0.16	0.02	0.02	1.0	1.0
0	no	no	0.25	0.25	0.53	0.61	0.06	0.25	0.2	0.07	0.03	0.02	1.0	1.0
25	yes	no	0.14	0.32	-0.53	0.0	1.0	1.0	0.32	0.04	0.01	0.04	0.85	0.9
25	no	yes	0.12	0.31	0.0	-0.2	1.0	1.0	0.32	0.08	0.01	0.01	0.59	0.78
0	yes	yes	0.48	0.48	-0.46	-0.49	0.13	0.13	0.08	0.08	0.08	0.08	0.86	0.86
0	no	no	0.17	0.06	-0.78	0.0	0.13	0.03	0.63	0.01	0.0	0.04	0.4	1.0
0	yes	yes	0.12	0.12	-0.65	-0.64	1.0	1.0	0.19	0.19	0.0	0.0	0.79	0.79
12	no	yes	0.4	0.4	0.38	0.39	1.0	1.0	0.11	0.1	0.01	0.0	0.99	1.0
-25	yes	no	0.24	0.07	-12.77	-2.79	1.0	1.0	0.17	0.05	0.06	0.09	0.97	0.88
-38	no	no	0.2	0.0	0.0	0.0	1.0	1.0	-	-	-	-	-	-
0	yes	yes	0.25	0.33	-1.51	-1.51	1.0	1.0	0.06	0.06	0.01	0.01	0.94	0.94
25	no	yes	0.13	0.21	0.0	0.0	1.0	1.0	0.07	0.04	0.01	0.03	0.84	0.86
0	no	no	0.01	0.01	5.17	0.0	1.0	1.0	0.42	0.44	0.01	0.01	0.9	0.85
0	no	no	0.23	0.24	0.0	0.0	1.0	1.0	0.1	0.1	0.02	0.01	0.84	0.84
0	yes	yes	0.38	0.38	-0.15	-0.15	1.0	1.0	-	-	-	-	-	-
-25	yes	yes	0.34	0.35	-1.05	-1.65	1.0	1.0	0.13	0.12	0.02	0.01	0.88	0.7
-25	yes	yes	0.44	0.46	-0.26	0.0	1.0	0.02	0.07	0.07	0.04	0.08	0.81	1.0
0	yes	no	0.11	0.26	0.0	0.0	1.0	0.03	0.53	0.03	0.0	0.05	0.92	1.0
0	no	no	0.14	0.14	0.0	0.0	1.0	1.0	0.07	0.05	0.0	0.0	0.85	0.87
0	yes	yes	0.13	0.19	-0.17	-0.17	1.0	1.0	0.06	0.01	0.0	0.01	0.93	0.94
0	no	no	0.07	0.04	-0.08	0.18	0.02	0.02	0.03	0.0	0.0	0.0	0.97	0.98
12	yes	yes	0.16	0.24	0.0	0.0	1.0	1.0	0.15	0.15	0.02	0.04	0.89	0.88
0	no	no	0.19	0.19	-0.2	-0.2	1.0	1.0	0.16	0.16	0.01	0.01	0.96	0.95
13	no	no	0.19	0.24	-0.01	-0.02	0.0	0.02	0.28	0.27	0.03	0.01	0.84	0.92
38	no	no	0.0	0.27	-0.09	-2.3	1.0	1.0	0.81	0.08	0.0	0.01	0.09	0.93
-25	no	no	0.18	0.18	0.18	0.18	1.0	1.0	0.19	0.24	0.04	0.05	1.0	1.0
0	yes	yes	0.37	0.25	-0.46	0.0	1.0	1.0	0.02	0.02	0.05	0.09	1.0	1.0
25	no	no	0.17	0.17	0.01	-0.04	1.0	1.0	0.55	0.02	0.0	0.0	0.41	0.99
0	no	no	0.31	0.28	-0.71	-0.59	1.0	1.0	0.12	0.12	0.01	0.0	0.93	0.96
0	yes	yes	0.46	0.21	-0.7	-0.49	1.0	1.0	0.06	0.0	0.02	0.02	0.91	0.96
0	no	no	0.25	0.25	0.0	0.0	1.0	1.0	0.04	0.04	0.08	0.08	1.0	1.0
0	yes	yes	0.25	0.24	-0.07	-0.11	1.0	1.0	0.05	0.0	0.0	0.0	0.94	0.95
0	no	no	0.1	0.12	0.0	0.0	1.0	1.0	0.02	0.01	0.02	0.0	0.85	0.83
50	no	yes	0.14	0.39	0.51	-0.03	1.0	1.0	0.28	0.21	0.01	0.0	0.79	0.88
-25	yes	no	0.27	0.03	-0.15	-2.95	1.0	1.0	0.07	0.26	0.0	0.0	0.74	0.71
0	no	no	0.06	0.03	-2.06	0.0	1.0	1.0	0.0	0.01	0.0	0.0	1.0	1.0
0	yes	yes	0.32	0.24	0.0	0.0	1.0	1.0	0.08	0.05	0.01	0.03	0.93	0.98
-13	yes	no	0.18	0.15	0.01	0.01	1.0	1.0	0.05	0.09	0.0	0.04	0.99	0.99
13	no	no	0.17	0.22	-0.13	-0.23	1.0	1.0	0.07	0.04	0.0	0.0	1.0	1.0
25	yes	yes	0.32	0.35	-0.98	-1.22	1.0	1.0	0.11	0.08	0.0	0.0	0.53	0.98
38	no	no	0.14	0.23	0.46	-0.14	1.0	1.0	-	-	-	-	-	-
0	no	no	0.43	0.43	-0.5	-0.5	1.0	1.0	0.37	0.37	0.02	0.02	0.97	0.97
0	no	no	0.14	0.05	-10.85	0.0	1.0	1.0	0.17	0.06	0.04	0.06	0.97	0.97
0	yes	yes	0.36	0.45	-0.67	-0.2	1.0	1.0	0.01	0.03	0.0	0.0	1.0	1.0
